marca;preço
Notebook Asus AMD Ryzen 5-3500U, 8GB RAM, SSD 256GB, 15,6', Radeon Vega 8, Windows 11 Home, Cinza - M515DA-BR1213W;R$ 2.699,99
Notebook Gamer Lenovo Gaming 3i Intel Core i5-11300H, GeForce GTX 1650, 8GB RAM, SSD 512GB, 15.6 Full HD, Windows 11, Preto  - 82MG0009BR;R$ 3.899,99
Notebook Acer Aspire 5 Ryzen 7-5700U, 8GB RAM, 256GB SSD NVMe, Tela 15.6 IPS Full HD, Windows 11 Home, Prata - A515-45-R760;R$ 3.199,99
Notebook Gamer Acer Nitro 5 Intel Core i7-11800H, GeForce GTX 1650, 8GB RAM, SSD 512GB, 15.6 Full HD 144Hz IPS, Windows 11, Preto - AN515-57-740K;R$ 4.899,99
Notebook Gamer Lenovo Gaming 3i Intel Core i5-11300H, GeForce GTX1650, 8GB RAM, SSD 512GB, 15.6 Full HD, Linux, Preto - 82MGS00200;R$ 3.899,99
Notebook Asus Intel Core i3 1005G1, 4GB RAM, 256GB SSD, Tela 15.6, Endless OS, Cinza - X515JA-BR2750;R$ 1.899,99
Notebook Gamer Acer Nitro 5 Intel Core i7-11800H, GeForce RTX 3050, 8GB RAM, SSD 512GB, 15.6 Full HD 144Hz, Windows 11, Preto - AN515-57-73G1;R$ 6.999,99
Notebook Acer Aspire 5, Intel Core I5 11ª Gen, 8GB, SSD 256GB, 14 Pol. Full HD, Linux Gutta - A514-54-56lf;R$ 2.754,05
Notebook Acer Aspire 5, Intel Core I7 11ª Gen, 8GB, SSD 512GB, 15.6 Pol. Full HD, Linux Gutta - A515-56-740v;R$ 4.749,05
Notebook Asus VivoBook 15 Intel Core i5-1135G7, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11 Home, Azul Cobalto - X513EA-BQ2782W;R$ 3.699,99
Notebook Lenovo Ultrafino IdeaPad 3 Ryzen 7-5700U, 8GB, SSD 256GB, Windows 11, 15.6, Prata - 82MF0004BR;R$ 3.999,99
Notebook Samsung Intel Core i5-1135G7, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11 Home, Cinza - NP550XDA-KH2BR;R$ 2.879,10
Notebook Asus Intel Core i5-1035G1, 8GB, SSD 256GB, 15.6 Full HD, Intel Graphics 620, Windows 11 Home, Cinza - X515JA-EJ1792W;R$ 2.999,99
Notebook Gamer Lenovo Legion 5 AMD Ryzen 7-5800H, 16GB RAM, SSD 512GB, GeForce RTX 3050, 15.6 Full HD, Windows 11,  Phantom Blue - 82QJ0000BR;R$ 6.399,99
Notebook Asus Intel Celeron Dual Core N4020, 4GB RAM, 128GB, Tela 15.6, Windows 11 Pro, Blue - E510MA-BR701X;R$ 1.799,99
Notebook Gamer Acer Nitro 5 AMD Ryzen 7-4800H, 8GB RAM, SSD 256GB, GeForce GTX 1650, HDD 1TB, 15.6 Full HD, Windows 11, Preto  - AN515-44-R629;R$ 4.599,99
Notebook Lenovo Ideapad 3i, I5-1135g7, 256GB RAM, SSD 8GB, Tela 15.6 Full HD,  Win 11 Home - 82md0007br;R$ 2.900,00
Notebook Asus M515da-br1213 AMD Ryzen 5, 8GB RAM, 256GB SSD M.2 NVME, Tela 15.6 polegadas, Sistema Endless Os;R$ 2.444,97
Notebook Gamer Dell G15 Intel Core i5-12500H, 8GB RAM, GeForce RTX3050, SSD 512GB, 15.6 Full HD, Windows 11, Preto - G15-i1200-A20P;R$ 5.899,99
